name,restaurant,date,STUDENT,DOCTORANT,CAMPUS,VISITOR
Tartiflette au Vacherin Mont d'Or Pomme de terre  oignon confit  légumes et pickles,Alpine,2022-11-01,11.5,12.0,12.5,13.5
Fusilli al ferretto  amandes  Pecorino Romano  courge confite à l'huile d'olive Bio,Arcadie,2022-11-01,10.0,12.0,12.0,12.0
Gratin de penne au blé complet  crème de carottes  Grana Padano et ciboulette,Arcadie,2022-11-01,7.0,8.0,8.8,10.0
Penne Rigate Velouté de courge et petits légumes fromage râpé,Esplanade,2022-11-01,8.6,9.9,11.0,12.4
Pad Thaï sautés aux Légumes Sauce soja épicée Oignon frits et noix de cajou,Ginko,2022-11-01,11.5,12.0,12.5,13.5
Tacos végétarien (Haché végétarien  Cheddar  BBQ et sauce tomate),Hopper,2022-11-01,8.1,9.9,11.0,13.6
[Mexican Veggie Burger] Pain bun  mayonnaise au curry  cheddar  tomates  sucrine  galette de haricots rouges et coriandre - Servi avec Twisted potatoes ou Légumes ou Salade mêlée ,La Table de Vallotton by Novae,2022-11-01,13.0,16.0,16.0,16.0
[La Pasta Veggie] Penne  champignon du moment  crème de Grana Padano  roquette  chips de parmesan,La Table de Vallotton by Novae,2022-11-01,13.0,16.0,16.0,16.0
[La Salade Veggie] Salade César avec sucrine  tomates cerises  parmesan  croûtons  sauce César  quorn  oeuf ,La Table de Vallotton by Novae,2022-11-01,15.0,18.0,18.0,18.0
[La Pièce du Primeur] Aubergine grillée  jus corsé curry-tomate  riz jasmin parfumé à la cannelle  sauce raïta,La Table de Vallotton by Novae,2022-11-01,19.0,22.0,22.0,22.0
Pakora aux légumes  fromage frais  riz épicé,Microcity,2022-11-01,10.5,12.0,13.0,14.0
Spanacopita  purée de patates douces à la coriandre  riz épicé  fenouil braisé  choux-fleurs au curcuma,Microcity,2022-11-01,10.5,12.0,13.0,14.0
Penne au pesto basilic et mozzarella,Microcity,2022-11-01,8.1,8.8,9.9,11.3
Salade piémontaise  pommes de terre  gruyère  sauce tartare,Microcity,2022-11-01,12.0,12.0,12.0,12.0
Chili sin carné et son pain pita,Native,2022-11-01,11.3,12.1,12.6,14.1
Gratin de carottes  pommes de terre et feta,Ornithorynque,2022-11-01,8.1,8.8,9.9,11.3
Hachis parmentier végétarien aux légumes de saison,Ornithorynque,2022-11-01,8.0,9.5,9.9,10.9
Samossas aux légumes  riz sauté  chutney d'ananas,Ornithorynque,2022-11-01,9.5,10.5,11.0,12.0
Tomme Vaudoise persillée  gâteau de pommes de terre  côtes de bettes,Ornithorynque,2022-11-01,10.5,11.5,13.0,14.0
Risotto Alla Milanese et copeaux de parmesan,Piano ,2022-11-01,8.6,9.9,11.0,13.5
Focaccia pépéroni  cipolla e Basilico et frites,Piano ,2022-11-01,13.8,14.9,14.9,16.9
Cocotte de pasta Napolitaine et mozzarella,Piano ,2022-11-01,8.1,8.8,9.9,11.3
Risotto Alla Milanese et copeaux de parmesan,Piano ,2022-11-01,9.7,12.1,13.2,15.2
RICE POKE BOWLS (Riz sushi  jeunes pousses  Carottes colorées  Choux fleur pickles  Radis  Concombre  Julienne de pois gourmand  Wakame  Pousse de soja  Tofu frit et Omelette soba  Emincé vgé),Zaha,2022-11-01,12.5,8.2,8.2,8.2
NODDLES POE BOWLS (Nouilles Soba  Maïs et pois  Choux rouges  Pousse mango  Julienne de pois gourmand  Basilic Thaï  Carottes croquantes et Tofu frit),Zaha,2022-11-01,8.2,8.2,8.2,8.2
Velouté de choux-fleurs et sa garniture			 Condiments ,Alpine,2022-11-02,8.1,8.8,9.9,11.3
Farfalle Napoli  sauce au thon MSC Fromage râpé Salade du moment,Alpine,2022-11-02,8.6,9.9,11.0,12.4
Osso buco de porc Suisse Polenta crémeuse Petit-pois à la française,Alpine,2022-11-02,11.5,12.0,12.5,13.5
Signature Suisse  Emincé de Veau Suisse à la Zurichoise Panier de rösti Légumes du marché,Alpine,2022-11-02,11.5,12.0,12.5,13.5
Fusilli al ferretto  amandes  Pecorino Romano  courge confite à l'huile d'olive Bio,Arcadie,2022-11-02,10.0,12.0,12.0,12.0
